Case Identification,Region,Type of Place of Residence,Source of Drinking Water,Type of Toilet Facility,Has Electricity,Main Floor Material,Main Wall Material,Main Roof Material,Has Bicycle,Has Motorcycle or Scooter,Has Car or Truck,Has Mosquito Bed Net for Sleeping,Owns Land Suitable for Agriculture,Has Bank Account,Wealth Index,State
1002,2,1,7,12,1,1,4,13,0,0,0,1,1,0,3,33
1004,2,1,12,12,1,5,4,13,1,0,1,1,1,1,3,33
1007,2,1,13,12,1,1,4,13,0,1,0,1,0,0,3,33
1010,2,1,13,12,1,1,4,13,1,1,1,1,0,0,4,33
1013,2,1,12,12,1,2,4,13,0,1,1,1,0,1,4,33
1016,2,1,13,12,1,8,3,13,0,1,0,1,1,1,3,33
1019,2,1,13,12,1,1,10,13,0,0,1,1,0,1,4,33
1022,2,1,12,12,1,1,4,13,0,1,0,1,0,1,4,33
1025,2,1,12,12,1,1,4,13,0,1,0,1,0,1,4,33
1027,2,1,13,10,1,1,4,13,0,0,0,0,0,0,3,33
1030,2,1,11,12,1,1,5,13,0,0,0,0,0,0,3,33
1033,2,1,8,10,1,1,4,13,0,0,0,1,1,0,3,33
1036,2,1,13,12,1,1,5,13,0,0,0,1,0,0,3,33
1039,2,1,13,10,1,1,5,13,0,0,0,1,0,0,3,33
1042,2,1,11,12,1,1,5,13,0,0,0,1,0,0,0,33
1045,2,1,11,3,1,1,5,13,1,0,0,1,0,1,4,33
1048,2,1,11,2,1,2,4,13,0,1,1,1,1,1,4,33
1051,2,1,8,12,1,1,13,13,0,0,0,1,0,1,0,33
1053,2,1,13,12,1,1,4,13,1,0,1,1,0,1,4,33
1056,2,1,13,12,1,1,4,13,1,0,0,1,0,0,3,33
1059,2,1,13,12,1,2,4,13,0,0,1,1,0,1,4,33
1062,2,1,8,3,1,1,5,13,0,0,0,0,0,0,4,33
1065,2,1,13,3,1,1,12,13,0,0,1,1,1,0,4,33
1068,2,1,13,3,1,1,5,13,0,1,0,1,0,0,3,33
1071,2,1,8,10,1,1,5,13,0,0,0,1,0,1,4,33
2003,2,1,8,12,1,8,4,13,0,1,0,1,0,0,3,33
2005,2,1,13,12,1,8,4,13,0,1,0,1,0,1,3,33
2007,2,1,8,12,1,8,7,13,1,0,0,1,1,1,0,33
2009,2,1,13,12,1,1,4,13,0,0,0,1,0,1,3,33
2011,2,1,13,12,1,1,4,13,0,0,0,1,0,1,3,33
2013,2,1,13,12,1,2,4,13,0,0,1,1,1,1,4,33
2016,2,1,8,12,1,1,4,11,0,1,0,1,0,1,4,33
2018,2,1,13,12,1,1,13,13,0,0,0,1,0,0,0,33
2020,2,1,8,12,1,1,4,13,0,1,0,0,0,1,4,33
2022,2,1,8,3,1,1,12,13,1,0,1,0,1,1,3,33
2024,2,1,8,3,1,1,13,13,1,1,0,0,0,1,0,33
2026,2,1,8,12,1,1,4,13,0,1,0,1,0,1,3,33
2029,2,1,13,12,0,4,13,13,0,0,0,0,0,0,0,33
2031,2,1,8,3,1,1,13,13,0,0,0,1,0,1,3,33
2033,2,1,8,11,1,1,13,13,0,0,0,0,0,1,3,33
2035,2,1,13,10,0,4,13,13,0,0,0,1,1,0,0,33
2037,2,1,8,10,1,1,12,13,0,0,0,1,0,1,3,33
2039,2,1,3,11,1,4,0,10,0,0,0,1,1,0,2,33
2042,2,1,5,10,1,1,0,0,1,0,0,0,1,1,3,33
2044,2,1,5,11,1,4,0,10,0,1,0,1,1,1,2,33
2048,2,1,3,11,1,2,4,0,0,0,0,0,0,1,3,33
2050,2,1,15,11,0,1,4,2,0,1,0,0,1,1,2,33
2052,2,1,3,10,1,7,0,11,0,0,0,1,0,1,0,33
2054,2,1,11,10,0,1,0,10,0,0,0,0,0,1,0,33
3002,2,0,13,8,0,4,12,12,0,0,1,1,1,1,2,33
3003,2,0,13,12,0,4,12,12,0,1,0,1,1,0,1,33
3005,2,0,7,8,0,4,0,6,0,1,0,1,1,0,2,33
3007,2,0,15,8,0,4,12,12,0,1,0,1,1,0,1,33
3008,2,0,15,8,0,4,12,12,0,0,0,1,1,0,1,33
3010,2,0,13,8,0,4,13,6,0,0,0,1,1,0,2,33
3012,2,0,13,8,0,8,12,6,0,0,0,1,1,0,1,33
3014,2,0,13,8,0,4,13,12,0,0,0,1,1,0,2,33
3015,2,0,13,8,0,4,12,13,0,0,0,1,1,0,1,33
3017,2,0,13,8,0,1,13,13,0,0,0,1,1,0,1,33
3019,2,0,13,8,0,1,13,13,1,1,0,0,1,1,1,33
3020,2,0,13,8,0,1,13,13,0,1,1,1,1,0,2,33
3022,2,0,13,8,0,1,13,13,0,1,0,1,1,0,2,33
3024,2,0,15,8,0,1,13,13,0,1,1,1,1,0,1,33
3026,2,0,13,8,0,1,13,13,0,1,0,1,1,0,1,33
3027,2,0,13,8,0,1,13,11,0,0,0,1,1,0,2,33
3029,2,0,13,8,0,1,13,13,1,0,0,0,1,0,1,33
3031,2,0,13,8,0,4,13,6,0,0,0,1,1,0,2,33
3033,2,0,13,8,0,4,12,11,0,0,0,1,1,0,1,33
3034,2,0,13,8,0,4,12,6,0,0,0,1,1,0,1,33
3036,2,0,13,12,0,4,12,12,0,0,0,1,1,1,0,33
3038,2,0,15,8,0,4,13,9,0,0,0,1,1,0,2,33
3039,2,0,15,8,0,4,13,9,0,0,0,1,1,0,2,33
3041,2,0,15,8,0,4,13,9,0,0,0,1,1,0,1,33
3043,2,0,15,8,0,4,13,9,0,1,0,1,1,0,2,33
4002,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
4005,2,0,15,10,0,4,0,4,0,0,0,1,1,0,2,33
4008,2,0,15,11,0,4,0,10,0,0,0,0,1,0,2,33
4011,2,0,15,10,0,4,0,10,0,0,0,1,1,0,2,33
4013,2,0,15,11,0,4,2,10,0,0,0,0,1,0,2,33
4016,2,0,15,11,0,4,2,4,0,0,0,1,1,0,2,33
4019,2,0,15,11,0,4,2,10,0,0,0,0,1,0,2,33
4022,2,0,15,8,0,4,0,12,0,1,0,0,1,0,2,33
4025,2,0,15,8,0,4,4,6,0,0,0,1,1,0,1,33
4028,2,0,15,12,0,4,12,6,0,0,0,1,1,0,2,33
4030,2,0,7,12,0,8,7,12,0,0,0,1,1,0,0,33
4033,2,0,15,8,0,4,0,12,0,0,0,1,1,0,2,33
4036,2,0,15,8,0,4,13,6,0,0,0,1,1,0,1,33
4039,2,0,15,8,0,1,3,13,0,0,0,1,1,0,2,33
4042,2,0,15,8,0,4,0,4,0,0,0,0,0,0,1,33
4045,2,0,15,8,0,4,4,6,1,0,0,1,1,1,2,33
4047,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
4050,2,0,14,8,0,4,13,13,1,0,0,0,1,1,1,33
4053,2,0,14,8,0,4,13,13,0,1,0,0,0,0,2,33
4056,2,0,14,8,0,4,13,13,0,0,0,1,1,0,1,33
4059,2,0,14,8,0,4,13,13,0,0,0,1,1,1,2,33
4062,2,0,14,8,0,4,13,13,0,0,0,1,0,0,2,33
4065,2,0,14,8,0,4,12,13,1,1,0,1,1,0,1,33
4067,2,0,14,8,0,4,13,13,0,0,0,1,1,0,2,33
4070,2,0,14,8,0,4,13,10,0,0,0,1,1,0,2,33
5003,2,0,15,11,0,3,0,6,0,0,0,1,1,0,2,33
5006,2,0,15,11,0,4,0,10,1,1,0,1,1,0,1,33
5008,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
5011,2,0,15,11,0,1,0,10,1,0,0,1,1,0,2,33
5013,2,0,15,11,0,4,0,10,0,0,0,0,1,0,2,33
5016,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
5019,2,0,15,11,0,4,0,10,0,1,0,1,1,0,2,33
5021,2,0,15,11,0,4,0,10,0,0,0,1,1,0,1,33
5024,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
5026,2,0,15,8,0,4,13,9,1,1,0,1,1,0,2,33
5029,2,0,15,8,0,4,13,9,0,0,0,1,1,0,2,33
5032,2,0,15,8,0,4,13,13,0,1,0,0,1,0,2,33
5034,2,0,15,8,0,4,13,10,0,0,0,0,1,0,1,33
5037,2,0,15,8,0,4,13,13,0,0,0,1,0,0,1,33
5039,2,0,15,8,0,4,13,13,1,1,0,0,1,0,2,33
5042,2,0,15,8,0,4,13,13,1,0,0,0,1,0,2,33
5045,2,0,15,8,0,4,13,13,0,0,0,1,1,0,2,33
5047,2,0,15,8,0,4,7,12,0,1,0,1,1,0,2,33
5050,2,0,15,8,0,4,4,12,0,1,0,1,1,0,1,33
5052,2,0,15,8,0,4,4,6,0,1,0,0,1,0,2,33
5055,2,0,15,8,0,4,10,12,0,0,0,1,1,0,2,33
5058,2,0,15,8,0,4,12,12,0,1,0,1,1,0,1,33
5060,2,0,15,8,0,4,0,13,0,1,0,1,1,0,1,33
5063,2,0,15,8,0,4,12,12,0,0,0,1,1,0,1,33
5065,2,0,15,8,0,4,13,6,0,1,0,1,1,0,1,33
6001,2,0,13,12,0,4,12,13,0,1,0,1,1,1,2,33
6003,2,0,13,12,0,4,12,12,0,0,1,1,1,1,1,33
6005,2,0,13,12,0,4,12,6,0,1,0,1,1,0,2,33
6007,2,0,13,12,0,8,13,12,0,1,0,1,1,0,0,33
6009,2,0,15,10,0,4,13,13,1,0,0,0,1,0,2,33
6011,2,0,15,10,0,4,13,13,0,0,0,1,1,0,2,33
6014,2,0,8,12,1,1,13,13,0,1,0,1,1,0,0,33
6016,2,0,7,10,0,4,13,10,0,0,0,1,1,0,2,33
6018,2,0,7,12,0,4,13,13,1,0,0,1,1,0,2,33
6020,2,0,15,12,0,4,13,10,1,0,0,1,1,0,2,33
6022,2,0,7,10,0,4,13,13,1,1,0,0,1,0,2,33
6024,2,0,7,8,0,4,13,13,1,1,1,1,1,0,2,33
6026,2,0,15,11,0,4,13,13,1,1,1,1,1,0,2,33
6028,2,0,15,8,0,4,13,13,1,0,0,1,1,1,1,33
6031,2,0,15,8,0,4,13,10,0,0,0,1,1,1,2,33
6033,2,0,7,10,0,4,13,9,1,0,0,1,1,0,2,33
6035,2,0,13,12,0,4,13,6,1,0,0,1,1,0,2,33
6037,2,0,13,12,0,1,4,13,0,1,0,0,0,0,0,33
6039,2,0,15,12,0,8,7,11,0,0,0,1,1,0,2,33
6041,2,0,13,12,0,4,0,12,0,1,1,1,1,1,2,33
6043,2,0,13,12,0,8,4,12,0,1,0,1,1,0,0,33
6045,2,0,13,12,0,8,4,12,1,0,0,1,1,0,1,33
6047,2,0,13,12,0,4,13,6,0,0,0,1,1,0,2,33
6050,2,0,13,8,0,4,12,12,0,0,0,1,1,0,1,33
6052,2,0,7,12,0,1,4,13,0,0,1,1,1,1,1,33
7003,2,0,15,12,0,4,13,13,0,1,0,1,1,0,2,33
7005,2,0,15,12,0,5,3,6,0,0,0,1,1,0,1,33
7008,2,0,15,12,0,8,13,6,0,0,0,1,1,0,2,33
7011,2,0,15,12,0,4,13,6,0,1,0,1,1,0,2,33
7013,2,0,15,8,0,5,10,6,0,0,0,0,1,0,1,33
7016,2,0,7,12,0,1,4,13,0,1,0,1,1,0,2,33
7019,2,0,15,12,0,4,12,6,0,0,0,1,1,0,2,33
7021,2,0,15,8,0,4,0,6,0,0,0,0,0,0,1,33
7024,2,0,15,8,0,4,13,13,0,0,0,1,1,0,2,33
7027,2,0,15,8,0,4,13,13,0,1,0,1,1,0,1,33
7029,2,0,15,12,0,4,13,13,0,1,0,1,1,0,2,33
7032,2,0,15,8,0,4,13,10,0,0,0,1,1,0,2,33
7034,2,0,15,8,0,4,13,13,1,0,0,1,1,0,2,33
7037,2,0,7,8,0,4,13,13,0,0,0,1,1,0,1,33
7040,2,0,15,11,0,4,0,10,0,0,0,1,1,0,2,33
7042,2,0,15,11,0,4,0,6,0,0,0,1,1,0,2,33
7045,2,0,15,8,0,4,13,13,0,0,0,0,1,0,2,33
7048,2,0,15,11,0,4,0,4,0,0,0,0,1,0,2,33
7050,2,0,15,8,0,4,12,12,0,1,0,0,1,0,1,33
7053,2,0,7,8,0,4,12,12,0,1,0,1,1,0,1,33
7056,2,0,15,8,0,4,13,13,0,0,0,1,1,0,1,33
7058,2,0,15,8,0,4,13,13,0,0,0,1,1,0,2,33
7061,2,0,15,8,0,4,12,6,0,1,0,1,1,0,1,33
7063,2,0,6,8,0,4,13,13,0,1,0,0,1,0,2,33
7066,2,0,15,11,0,4,2,12,1,0,0,1,1,0,2,33
8002,2,0,15,8,0,4,13,10,0,0,0,0,1,0,2,33
8008,2,0,15,8,0,1,13,13,1,1,0,0,1,0,2,33
8015,2,0,15,8,0,4,13,10,1,0,0,1,1,0,2,33
8021,2,0,15,8,0,1,13,13,0,0,0,1,1,0,2,33
8027,2,0,15,8,0,4,13,13,0,0,0,0,0,0,2,33
8033,2,0,15,8,0,4,13,13,0,0,0,0,0,0,1,33
8039,2,0,15,8,0,4,11,6,1,0,0,0,1,0,2,33
8045,2,0,15,12,0,1,7,13,1,0,0,1,1,0,0,33
8051,2,0,15,8,0,4,13,12,0,0,0,1,1,0,1,33
8057,2,0,15,8,0,4,13,12,0,1,0,0,1,0,2,33
8064,2,0,7,8,0,4,13,12,0,1,0,1,1,1,2,33
8070,2,0,15,11,0,4,0,10,0,0,0,0,1,0,1,33
8076,2,0,15,11,0,4,0,10,0,0,0,0,1,0,2,33
8082,2,0,15,11,0,4,0,10,0,1,0,0,1,0,1,33
8088,2,0,15,11,0,4,0,10,0,1,1,1,1,0,2,33
8094,2,0,15,11,0,4,0,10,1,1,0,1,1,0,2,33
8100,2,0,15,8,0,4,13,6,0,0,0,1,1,0,2,33
8106,2,0,15,8,0,4,13,12,0,0,0,1,0,1,1,33
8113,2,0,15,8,0,4,13,12,1,1,0,1,1,0,1,33
8119,2,0,15,8,0,4,13,10,0,1,0,1,1,0,2,33
8125,2,0,15,8,0,4,13,13,0,0,0,1,1,0,2,33
8131,2,0,15,8,0,4,13,13,0,1,0,1,1,1,0,33
8137,2,0,15,11,0,4,0,10,0,0,0,0,1,0,2,33
8143,2,0,15,11,0,4,0,10,0,0,1,1,1,0,2,33
8149,2,0,15,11,0,4,0,10,1,1,0,1,1,0,2,33
9001,2,0,15,12,0,5,12,11,0,0,0,1,1,0,1,33
9003,2,0,15,12,0,5,13,6,0,0,0,1,0,0,1,33
9005,2,0,7,12,0,4,12,12,0,1,0,1,1,0,0,33
9007,2,0,15,12,0,4,12,12,0,0,0,1,1,0,2,33
9009,2,0,15,12,0,5,12,12,0,1,0,1,1,0,2,33
9011,2,0,15,12,0,4,12,13,0,1,0,1,1,0,2,33
9013,2,0,15,12,0,8,12,13,0,1,0,1,1,0,0,33
9015,2,0,7,12,1,4,12,12,0,0,0,1,1,0,2,33
9017,2,0,7,12,0,4,12,6,0,1,0,1,1,0,2,33
9019,2,0,15,12,0,1,13,13,0,1,0,0,1,0,1,33
9021,2,0,15,10,0,1,13,13,0,0,0,0,1,0,1,33
9023,2,0,15,11,0,1,13,9,1,1,0,1,1,1,2,33
9025,2,0,15,12,0,1,13,9,1,1,0,1,1,0,2,33
9027,2,0,15,12,0,4,13,9,0,1,0,0,1,0,2,33
9029,2,0,15,10,0,4,13,9,1,1,0,0,1,0,2,33
9030,2,0,15,12,0,1,13,9,0,1,0,1,1,0,2,33
9032,2,0,15,12,0,1,13,13,0,0,0,0,1,0,1,33
9034,2,0,7,8,0,4,13,13,1,0,0,1,1,0,0,33
9036,2,0,7,8,0,4,12,13,0,0,0,1,1,0,0,33
9038,2,0,7,8,0,4,12,6,0,0,0,1,1,0,1,33
9040,2,0,7,12,0,4,13,12,0,1,0,1,1,0,1,33
9042,2,0,13,8,0,4,13,9,1,0,0,0,1,0,1,33
9044,2,0,15,12,0,4,13,13,0,1,0,1,1,0,1,33
9046,2,0,15,12,0,4,13,13,0,0,0,1,1,0,2,33
9048,2,0,15,12,0,4,13,13,0,0,0,1,1,0,1,33
10003,2,1,7,10,1,1,4,13,0,1,0,1,1,0,3,36
10006,2,1,7,11,0,4,7,13,0,0,0,1,0,0,1,36
10009,2,1,7,11,0,4,7,13,0,1,0,1,0,0,2,36
10013,2,1,15,11,0,4,7,11,0,0,0,1,0,1,2,36
10016,2,1,15,11,0,4,7,13,0,1,0,1,0,0,2,36
10017,2,1,13,11,1,4,7,13,0,1,0,1,0,0,2,36
10022,2,1,13,10,1,4,4,13,0,1,0,1,1,1,3,36
10025,2,1,13,10,0,4,4,13,1,0,0,1,0,1,0,36
10029,2,1,13,11,1,4,7,13,1,0,0,1,1,0,0,36
10032,2,1,13,10,1,4,4,13,1,0,0,1,1,0,0,36
10035,2,1,13,11,0,4,7,8,1,1,0,1,1,0,2,36
10038,2,1,13,11,0,4,7,12,1,1,0,1,0,0,2,36
10041,2,1,13,11,0,4,8,13,0,1,0,1,1,0,2,36
10045,2,1,15,11,0,4,7,13,0,1,0,1,1,0,2,36
10048,2,1,15,11,0,1,7,13,0,0,0,1,1,0,2,36
10051,2,1,15,11,0,4,7,13,1,1,0,1,1,0,2,36
10054,2,1,15,11,0,4,7,13,0,0,0,1,1,0,2,36
10057,2,1,15,11,0,4,7,13,0,1,0,1,1,0,1,36
10061,2,1,15,10,1,1,4,13,1,1,0,1,1,1,3,36
10064,2,1,15,11,0,1,4,13,0,1,0,1,1,0,1,36
10067,2,1,15,10,1,1,4,13,0,0,0,1,1,0,1,36
10070,2,1,7,11,0,4,7,13,0,0,0,1,0,0,0,36
10073,2,1,15,10,0,1,4,13,0,0,1,1,1,0,0,36
10077,2,1,15,10,0,1,7,13,0,1,0,1,1,0,2,36
10080,2,1,15,10,0,4,7,13,1,1,0,1,1,0,2,36
11001,2,1,13,10,1,1,7,13,1,1,0,1,1,0,2,36
11002,2,1,13,10,1,1,4,13,0,1,0,1,1,0,1,36
11004,2,1,13,10,1,1,7,13,0,1,0,1,1,0,1,36
11005,2,1,13,11,1,4,7,13,0,0,0,1,1,0,2,36
11006,2,1,13,11,1,1,7,13,0,0,0,1,1,0,1,36
11007,2,1,13,11,1,4,7,13,1,1,0,1,1,0,2,36
11008,2,1,13,11,0,4,8,13,0,0,0,1,1,0,2,36
11010,2,1,13,11,1,1,7,13,1,1,0,1,1,0,2,36
11011,2,1,13,3,1,1,7,13,1,0,0,1,1,0,0,36
11012,2,1,13,11,1,4,11,11,0,0,0,0,0,0,0,36
11013,2,1,13,11,1,4,11,13,0,0,0,0,0,0,0,36
11015,2,1,13,10,1,1,4,13,0,0,0,0,0,0,3,36
11016,2,1,13,10,1,1,4,13,0,1,0,1,0,0,0,36
11017,2,1,13,10,1,4,11,4,0,0,0,0,0,0,0,36
11018,2,1,13,11,1,1,4,13,0,1,0,1,0,0,0,36
11020,2,1,13,11,0,4,7,13,1,0,0,1,0,0,0,36
11021,2,1,13,11,1,4,7,9,1,1,0,1,1,0,2,36
11022,2,1,13,10,0,1,13,11,1,1,0,1,1,0,1,36
11023,2,1,13,10,0,1,4,13,1,1,0,1,1,1,1,36
11025,2,1,13,11,0,4,7,13,0,0,0,1,0,0,0,36
11026,2,1,13,10,1,1,4,13,0,1,0,1,1,1,0,36
11027,2,1,13,11,1,4,7,13,0,0,0,1,0,1,0,36
11028,2,1,13,10,0,4,7,9,1,0,0,1,1,0,2,36
11030,2,1,15,10,1,1,4,13,1,1,0,1,0,1,0,36
11031,2,1,13,11,1,4,7,12,0,0,0,1,1,0,2,36
12001,2,0,10,11,0,4,11,12,1,1,0,1,1,0,2,36
12003,2,0,10,11,0,4,7,11,0,0,0,0,0,0,1,36
12005,2,0,10,11,0,4,7,11,0,1,0,0,1,0,2,36
12007,2,0,10,11,0,4,7,11,0,0,0,0,1,0,1,36
12009,2,0,10,11,0,4,7,11,0,0,0,0,1,0,1,36
12011,2,0,10,11,0,4,7,11,0,0,0,0,0,0,1,36
12013,2,0,10,11,0,4,7,11,0,0,0,0,0,0,1,36
12015,2,0,10,11,0,4,7,11,1,0,0,0,1,0,1,36
12017,2,0,10,11,0,4,7,11,1,0,0,0,1,0,1,36
12019,2,0,14,11,0,4,7,11,0,1,0,1,1,0,2,36
12021,2,0,14,8,0,1,7,10,1,0,0,1,1,0,2,36
12023,2,0,14,8,0,1,7,10,0,0,0,1,1,0,2,36
12025,2,0,15,10,0,4,13,10,1,0,0,1,1,0,2,36
12027,2,0,14,8,0,1,7,10,0,0,0,1,1,0,2,36
12029,2,0,14,8,0,1,7,10,1,0,0,1,1,0,2,36
12031,2,0,14,8,0,4,7,10,1,0,0,1,1,0,2,36
12033,2,0,14,8,0,4,7,10,1,0,0,1,1,0,2,36
12034,2,0,14,8,0,1,7,10,0,0,0,1,1,0,2,36
12036,2,0,14,8,0,1,7,10,1,0,0,1,1,0,2,36
12038,2,0,14,8,0,4,7,10,0,0,0,1,1,0,2,36
12040,2,0,14,8,0,1,7,10,0,0,0,1,1,0,2,36
12042,2,0,15,10,0,1,4,13,1,0,0,1,1,0,2,36
12044,2,0,15,10,0,1,4,13,0,1,0,1,1,0,2,36
12046,2,0,15,10,0,4,13,13,1,0,0,1,1,0,2,36
12048,2,0,15,10,0,4,13,4,1,0,0,1,1,0,2,36
13002,2,0,13,11,0,4,7,11,1,1,1,1,1,0,2,36
13005,2,0,13,11,0,4,7,11,1,0,0,1,1,0,1,36
13008,2,0,13,11,0,4,7,11,0,0,0,1,1,0,1,36
13011,2,0,13,11,0,4,7,11,1,0,0,1,1,0,1,36
13014,2,0,13,11,0,4,7,11,1,0,0,1,1,0,1,36
13017,2,0,13,11,0,4,7,11,0,0,0,1,1,0,1,36
13020,2,0,13,11,0,4,7,11,1,1,0,1,1,0,1,36
13023,2,0,13,11,0,4,7,13,1,0,0,1,1,0,1,36
13026,2,0,13,11,0,4,7,6,1,0,0,1,1,1,2,36
13029,2,0,13,11,0,4,7,12,1,0,0,1,1,0,1,36
13032,2,0,13,11,0,4,7,6,1,1,0,1,1,0,1,36
13035,2,0,13,11,0,4,7,6,1,1,0,1,1,0,2,36
13038,2,0,13,11,0,4,7,13,1,0,0,1,0,0,1,36
13041,2,0,13,11,0,4,7,12,1,1,0,1,1,0,2,36
13044,2,0,13,11,0,4,7,12,1,0,0,1,1,0,2,36
13048,2,0,13,11,0,4,7,12,0,0,0,1,1,0,1,36
13051,2,0,13,11,0,4,7,13,0,1,0,1,1,0,1,36
13054,2,0,13,11,0,4,7,13,1,1,0,1,1,0,2,36
13057,2,0,13,11,0,4,7,13,1,1,0,1,1,0,2,36
13060,2,0,13,11,0,4,7,13,0,1,0,1,1,0,1,36
13063,2,0,13,11,0,4,7,13,1,1,0,1,1,0,2,36
13066,2,0,13,12,0,4,7,5,1,1,0,1,1,0,1,36
13069,2,0,13,10,0,1,7,9,1,1,0,1,1,0,1,36
13072,2,0,13,10,0,1,7,9,0,1,0,1,1,0,0,36
13075,2,0,13,10,0,1,7,13,1,0,0,1,0,0,0,36
14001,2,0,13,11,0,4,7,13,0,0,0,1,1,0,2,36
14002,2,0,13,11,0,4,7,13,0,0,0,1,1,1,1,36
14004,2,0,13,11,0,4,7,13,0,1,0,1,1,0,2,36
14005,2,0,13,11,0,4,7,13,0,0,0,1,1,0,1,36
14007,2,0,7,11,0,4,7,11,0,0,0,1,1,0,1,36
14008,2,0,13,11,0,4,7,13,0,0,0,1,1,0,1,36
14010,2,0,13,11,0,4,7,6,0,0,0,1,1,0,1,36
14011,2,0,13,11,0,4,7,6,0,0,0,1,1,0,2,36
14013,2,0,13,11,0,4,7,6,0,0,0,1,1,0,1,36
14014,2,0,13,11,0,4,7,13,1,0,0,1,1,0,2,36
14016,2,0,13,11,0,4,7,6,0,1,0,1,0,0,1,36
14017,2,0,13,11,0,4,7,6,0,1,0,1,1,0,2,36
14019,2,0,13,11,0,4,7,6,0,0,0,1,1,0,2,36
14020,2,0,15,11,0,4,7,12,0,0,0,1,1,0,2,36
14023,2,0,15,11,0,4,7,13,0,1,0,1,1,0,1,36
14025,2,0,15,11,0,4,7,13,0,0,0,1,1,0,2,36
14027,2,0,15,11,0,4,7,12,0,1,0,1,1,0,2,36
14028,2,0,15,11,0,4,7,12,0,0,0,1,1,0,2,36
14030,2,0,15,11,0,4,7,12,0,0,0,1,1,0,1,36
14031,2,0,15,11,0,4,7,12,0,0,0,1,1,0,2,36
14033,2,0,7,10,0,4,7,9,0,1,0,1,1,0,2,36
14034,2,0,7,10,0,1,13,9,0,1,0,1,1,0,1,36
14036,2,0,13,10,0,1,13,9,0,0,0,1,1,0,1,36
14037,2,0,7,10,0,1,13,13,0,0,0,1,0,0,2,36
15001,2,0,14,10,1,3,7,13,0,0,0,1,1,0,1,36
15002,2,0,15,11,1,3,7,13,0,0,0,0,1,0,0,36
15004,2,0,15,11,1,4,7,13,0,0,0,1,1,1,2,36
15006,2,0,15,11,1,3,7,13,1,0,0,1,1,1,1,36
15007,2,0,15,11,1,3,7,13,0,0,0,0,0,0,0,36
15009,2,0,13,11,0,4,7,6,0,0,0,1,1,0,2,36
15010,2,0,14,11,0,4,7,6,0,0,0,1,1,0,2,36
15012,2,0,14,11,0,4,7,6,0,0,0,1,1,0,2,36
15013,2,0,14,11,0,4,7,6,0,0,0,1,1,0,2,36
15015,2,0,14,11,0,4,7,6,1,1,0,1,1,0,2,36
15016,2,0,14,11,0,4,7,6,0,0,0,1,1,0,1,36
15018,2,0,14,11,0,4,7,6,1,0,0,1,1,0,2,36
15020,2,0,14,11,1,4,7,12,1,0,0,1,1,0,2,36
15021,2,0,14,11,1,4,7,12,1,1,0,1,1,0,2,36
15023,2,0,14,11,1,4,7,12,0,0,0,1,1,0,2,36
15024,2,0,14,11,1,4,7,12,1,0,0,1,1,0,2,36
15026,2,0,14,11,1,4,7,13,0,1,0,1,1,0,0,36
15027,2,0,14,11,1,4,7,12,1,0,0,1,1,0,2,36
15029,2,0,14,11,1,4,7,13,1,0,0,1,1,0,2,36
15030,2,0,14,11,1,4,7,13,1,1,0,1,1,0,2,36
15032,2,0,10,10,1,1,13,2,0,0,0,1,1,0,1,36
15034,2,0,10,10,0,4,13,13,1,0,0,1,1,0,2,36
15035,2,0,10,10,1,4,4,13,0,1,0,1,1,1,0,36
15037,2,0,7,10,1,1,4,13,1,1,0,1,1,0,0,36
15038,2,0,7,10,1,1,4,13,0,0,0,1,1,0,0,36
16008,2,0,14,11,1,3,7,13,0,0,0,1,1,0,2,36
16011,2,0,14,11,1,3,8,13,1,1,0,1,1,1,1,36
16013,2,0,14,11,1,3,7,13,0,1,0,1,0,0,0,36
16016,2,0,14,11,1,4,7,8,0,0,0,1,1,0,1,36
16019,2,0,14,11,1,4,7,8,1,1,0,1,1,0,2,36
16021,2,0,14,11,1,4,7,13,1,0,0,1,1,0,0,36
16024,2,0,14,11,1,4,7,6,1,1,0,1,1,0,1,36
16026,2,0,14,11,1,4,7,6,1,0,0,1,1,0,0,36
16029,2,0,14,11,1,4,7,6,1,1,0,1,1,1,2,36
16034,2,0,14,11,1,4,7,8,1,0,0,1,1,0,1,36
16037,2,0,14,11,1,4,7,13,1,1,0,1,1,0,1,36
16039,2,0,14,11,1,1,7,13,1,1,0,1,1,0,1,36
16042,2,0,14,11,1,1,7,13,1,1,0,1,1,0,1,36
16045,2,0,14,11,1,4,7,13,1,1,0,1,1,0,2,36
16047,2,0,14,11,1,4,4,13,1,1,0,1,1,1,1,36
16050,2,0,14,11,1,4,7,13,1,1,0,1,1,0,2,36
16052,2,0,14,11,1,1,7,13,1,0,0,1,1,0,2,36
16055,2,0,14,11,1,4,7,13,0,1,0,1,1,0,1,36
16058,2,0,7,10,1,1,4,13,0,0,1,1,1,1,0,36
16060,2,0,7,10,1,1,4,13,0,1,0,1,1,0,0,36
16063,2,0,15,10,0,1,4,13,1,0,0,1,1,0,1,36
16065,2,0,15,10,1,7,4,13,0,1,0,1,1,0,1,36
